Hand,Raise,Call,Fold
AA,100.00,0.00,0.00
AKs,100.00,0.00,0.00
AKo,100.00,0.00,0.00
AQs,100.00,0.00,0.00
AQo,100.00,0.00,0.00
AJs,100.00,0.00,0.00
AJo,100.00,0.00,0.00
ATs,55.53,44.47,0.00
ATo,86.65,13.35,0.00
A9s,0.00,100.00,0.00
A9o,17.53,82.47,0.00
A8s,0.00,100.00,0.00
A8o,0.03,99.97,0.00
A7s,0.00,100.00,0.00
A7o,3.06,96.94,0.00
A6s,0.00,100.00,0.00
A6o,15.68,84.32,0.00
A5s,0.00,100.00,0.00
A5o,51.28,48.72,0.00
A4s,0.00,100.00,0.00
A4o,32.64,67.36,0.00
A3s,0.00,100.00,0.00
A3o,52.18,47.82,0.00
A2s,0.00,100.00,0.00
A2o,3.43,96.57,0.00
KK,100.00,0.00,0.00
KQs,99.98,0.02,0.00
KQo,82.48,17.52,0.00
KJs,8.42,91.58,0.00
KJo,44.97,55.03,0.00
KTs,1.14,98.86,0.00
KTo,19.11,80.89,0.00
K9s,0.00,100.00,0.00
K9o,2.23,97.77,0.00
K8s,0.00,100.00,0.00
K8o,15.85,84.15,0.00
K7s,0.00,100.00,0.00
K7o,14.99,85.01,0.00
K6s,0.18,99.82,0.00
K6o,0.02,99.98,0.00
K5s,1.31,98.69,0.00
K5o,29.50,70.50,0.00
K4s,0.47,99.53,0.00
K4o,21.82,78.18,0.00
K3s,0.00,100.00,0.00
K3o,31.33,68.67,0.00
K2s,0.19,99.81,0.00
K2o,16.17,83.83,0.00
QQ,100.00,0.00,0.00
QJs,71.44,28.56,0.00
QJo,20.22,79.78,0.00
QTs,33.88,66.12,0.00
QTo,8.61,91.39,0.00
Q9s,0.00,100.00,0.00
Q9o,10.02,89.98,0.00
Q8s,0.00,100.00,0.00
Q8o,17.47,82.53,0.00
Q7s,0.00,100.00,0.00
Q7o,0.00,100.00,0.00
Q6s,0.00,100.00,0.00
Q6o,0.00,100.00,0.00
Q5s,0.00,100.00,0.00
Q5o,2.05,97.95,0.00
Q4s,0.00,100.00,0.00
Q4o,52.21,47.79,0.00
Q3s,0.00,100.00,0.00
Q3o,28.64,71.36,0.00
Q2s,0.00,100.00,0.00
Q2o,19.74,80.26,0.00
JJ,100.00,0.00,0.00
JTs,43.51,56.49,0.00
JTo,1.38,98.62,0.00
J9s,10.04,89.96,0.00
J9o,0.69,99.31,0.00
J8s,0.24,99.76,0.00
J8o,35.48,64.52,0.00
J7s,0.00,100.00,0.00
J7o,14.36,85.64,0.00
J6s,0.04,99.96,0.00
J6o,0.00,100.00,0.00
J5s,0.00,100.00,0.00
J5o,31.99,68.01,0.00
J4s,0.05,99.95,0.00
J4o,6.44,93.56,0.00
J3s,0.01,99.99,0.00
J3o,0.00,100.00,0.00
J2s,0.00,100.00,0.00
J2o,0.00,100.00,0.00
TT,100.00,0.00,0.00
T9s,76.38,23.62,0.00
T9o,21.20,78.80,0.00
T8s,34.90,65.10,0.00
T8o,32.20,67.80,0.00
T7s,1.26,98.74,0.00
T7o,45.60,54.40,0.00
T6s,0.00,100.00,0.00
T6o,35.67,64.33,0.00
T5s,0.02,99.98,0.00
T5o,0.00,100.00,0.00
T4s,0.00,100.00,0.00
T4o,0.21,99.79,0.00
T3s,0.00,100.00,0.00
T3o,0.00,100.00,0.00
T2s,0.00,100.00,0.00
T2o,0.44,99.99,0.00
99,100.00,0.00,0.00
98s,95.77,4.23,0.00
98o,10.61,89.39,0.00
97s,98.17,1.83,0.00
97o,0.30,99.70,0.00
96s,21.03,78.97,0.00
96o,17.90,82.10,0.00
95s,7.68,92.32,0.00
95o,23.30,99.99,0.00
94s,0.00,100.00,0.00
94o,0.00,0.00,100.00
93s,0.00,100.00,0.00
93o,0.00,0.00,100.00
92s,0.00,100.00,0.00
92o,0.00,0.00,100.00
88,68.65,31.35,0.00
87s,99.41,0.59,0.00
87o,0.00,100.00,0.00
86s,46.84,53.16,0.00
86o,1.66,98.34,0.00
85s,14.55,85.45,0.00
85o,5.32,94.68,0.00
84s,0.00,100.00,0.00
84o,0.00,0.00,100.00
83s,0.00,100.00,0.00
83o,0.00,0.00,100.00
82s,0.00,100.00,0.00
82o,0.00,0.00,100.00
77,5.33,94.67,0.00
76s,80.15,19.85,0.00
76o,0.00,100.00,0.00
75s,85.84,14.16,0.00
75o,0.15,99.85,0.00
74s,0.00,100.00,0.00
74o,0.00,100.00,0.00
73s,0.00,100.00,0.00
73o,0.00,0.00,100.00
72s,0.00,100.00,0.00
72o,0.00,0.00,100.00
66,11.36,88.64,0.00
65s,99.94,0.06,0.00
65o,0.00,100.00,0.00
64s,0.23,99.77,0.00
64o,0.00,100.00,0.00
63s,0.00,100.00,0.00
63o,0.00,0.00,100.00
62s,0.00,100.00,0.00
62o,0.00,0.00,100.00
55,20.48,79.52,0.00
54s,99.54,0.46,0.00
54o,2.75,97.25,0.00
53s,1.10,98.90,0.00
53o,0.00,100.00,0.00
52s,0.00,100.00,0.00
52o,0.00,100.00,0.00
44,0.04,99.96,0.00
43s,33.14,66.86,0.00
43o,0.00,100.00,0.00
42s,0.00,100.00,0.00
42o,0.00,0.00,100.00
33,0.00,100.00,0.00
32s,0.00,100.00,0.00
32o,0.00,0.00,100.00
22,0.00,100.00,0.00
